item_id,year,question_number,item_type,item_description,reporting_catgory,standard,screenshot_path,html_path,html_path
MA900754381,2025,1,SR,Identify a fraction that will make a comparison statement with another fraction true.,Number and Operations-Fractions,4.NF.A.2,/Users/npresnall/sturbridge/scripts/items/MA900754381/MA900754381.png,,/Users/npresnall/sturbridge/scripts/items/MA900754381/MA900754381.html
MA136448521,2025,2,SR,Identify whether given numbers are prime or composite.,Operations and Algebraic Thinking,4.OA.B.4,/Users/npresnall/sturbridge/scripts/items/MA136448521/MA136448521.png,,/Users/npresnall/sturbridge/scripts/items/MA136448521/MA136448521.html
MA800780887,2025,3,CR,"Solve word problems by identifying an equation that shows the sum of two fractions, justifying if a given equation is correct or not, adding and subtracting fractions, and subtracting mixed numbers.",Number and Operations-Fractions,4.NF.B.3,/Users/npresnall/sturbridge/scripts/items/MA800780887/MA800780887.png,,/Users/npresnall/sturbridge/scripts/items/MA800780887/MA800780887.html
MA010534486,2025,4,SR,Determine the perimeter and the units used to measure perimeter of a rectangle.,Measurement and Data,4.MD.A.3,/Users/npresnall/sturbridge/scripts/items/MA010534486/MA010534486.png,,/Users/npresnall/sturbridge/scripts/items/MA010534486/MA010534486.html
MA232254177,2025,5,SR,Identify shapes that have a pair of parallel sides.,Geometry,4.G.A.1,/Users/npresnall/sturbridge/scripts/items/MA232254177/MA232254177.png,,/Users/npresnall/sturbridge/scripts/items/MA232254177/MA232254177.html
MA202029218,2025,6,SR,Round a six-digit whole number to the nearest thousand.,Number and Operations in Base Ten,4.NBT.A.3,/Users/npresnall/sturbridge/scripts/items/MA202029218/MA202029218.png,,/Users/npresnall/sturbridge/scripts/items/MA202029218/MA202029218.html
MA713677363,2025,7,SR,"Match numbers written in expanded form to their equivalent numbers written in word form, and compare numbers written in word form to a number in standard form.",Number and Operations in Base Ten,4.NBT.A.2,/Users/npresnall/sturbridge/scripts/items/MA713677363/MA713677363.png,,/Users/npresnall/sturbridge/scripts/items/MA713677363/MA713677363.html
MA900741771,2025,8,SR,Choose multiplication and division equations that can be used to solve a word problem involving a multiplicative comparison.,Operations and Algebraic Thinking,4.OA.A.2,/Users/npresnall/sturbridge/scripts/items/MA900741771/MA900741771.png,,/Users/npresnall/sturbridge/scripts/items/MA900741771/MA900741771.html
MA311554,2025,9,SR,Give the measure of an angle that turns through a portion of a circle.,Measurement and Data,4.MD.C.5,/Users/npresnall/sturbridge/scripts/items/MA311554/MA311554.png,,/Users/npresnall/sturbridge/scripts/items/MA311554/MA311554.html
MA232261850,2025,10,SR,Determine whether lines on geometric figures represent lines of symmetry.,Geometry,4.G.A.3,/Users/npresnall/sturbridge/scripts/items/MA232261850/MA232261850.png,,/Users/npresnall/sturbridge/scripts/items/MA232261850/MA232261850.html
