Level,Level Description,Topic
ZI,Pencil Skills,Colouring
ZI,Pencil Skills,Straight Lines
ZI,Pencil Skills,Curved Lines
ZI,Pencil Skills,Shapes and Pictures
ZI,Pencil Skills,Shapes and Pictures (Stories)
ZI,Pencil Skills,Back and Forth
ZI,Pencil Skills,Corners and Curves
ZII,Pencil Skills (Advanced),Colouring
ZII,Pencil Skills (Advanced),Straight Lines
ZII,Pencil Skills (Advanced),Curved Lines
ZII,Pencil Skills (Advanced),Shapes and Pictures
ZII,Pencil Skills (Advanced),Shapes and Pictures (Stories)
ZII,Pencil Skills (Advanced),Back and Forth
ZII,Pencil Skills (Advanced),Corners and Curves
6A,Counting,Counting (Up to 5)
6A,Counting,Counting (Up to 10)
6A,Counting,Number Reading Exercises (Up to 10)
6A,Counting,Number of Dots (Up to 10)
5A,Reading Numbers,Number Reading Exercises (Up to 30)
5A,Reading Numbers,Sequence of Numbers (Up to 30)
5A,Reading Numbers,Sequence of Numbers (Up to 40)
5A,Reading Numbers,Sequence of Numbers (Up to 50)
5A,Reading Numbers,Large Numbers
4A,Writing Numbers,Number Tracing Exercises
4A,Writing Numbers,Number Writing Exercises (Up to 10)
4A,Writing Numbers,Number Writing Exercises (Up to 20)
4A,Writing Numbers,Number Writing Exercises (Up to 30)
4A,Writing Numbers,Numbers (Up to 50)
3A,Adding 1,Numbers (Up to 100)
3A,Adding 1,Numbers (Up to 120)
3A,Adding 1,Adding 1
3A,Adding 1,Adding 2
3A,Adding 1,Adding 3
3A,Adding 1,Adding up to 3
2A,Adding up to 10,Review (up to 3A)
2A,Adding up to 10,Adding 4
2A,Adding up to 10,Adding 5
2A,Adding up to 10,Adding up to 5
2A,Adding up to 10,Adding 6
2A,Adding up to 10,Adding 7
2A,Adding up to 10,Adding up to 7
2A,Adding up to 10,Adding 8
2A,Adding up to 10,Adding 9
2A,Adding up to 10,Adding 9 and 10
2A,Adding up to 10,Adding up to 10
A,Addition and Subtraction,Addition (Review up to 2A)
A,Addition and Subtraction,Addition (Up to sum of 12)
A,Addition and Subtraction,Addition (Up to sum of 15)
A,Addition and Subtraction,Addition (Up to sum of 18)
A,Addition and Subtraction,Addition (Up to sum of 20)
A,Addition and Subtraction,Addition (Up to sum of 24)
A,Addition and Subtraction,Addition (Up to sum of 28)
A,Addition and Subtraction,Addition (Summary)
A,Addition and Subtraction,Subtraction (Subtracting 1)
A,Addition and Subtraction,Subtraction (Subtracting 2)
A,Addition and Subtraction,Subtraction (Subtracting 3)
A,Addition and Subtraction,Subtraction (Subtracting up to 3)
A,Addition and Subtraction,Subtraction (Subtracting up to 5)
A,Addition and Subtraction,Subtraction (From numbers up to 10)
A,Addition and Subtraction,Subtraction (From numbers up to 11)
A,Addition and Subtraction,Subtraction (From numbers up to 12)
A,Addition and Subtraction,Subtraction (From numbers up to 14)
A,Addition and Subtraction,Subtraction (From numbers up to 16)
A,Addition and Subtraction,Subtraction (From numbers up to 20)
A,Addition and Subtraction,Subtraction (Summary)
B,Multi-Digit Addition and Subtraction,Addition (Review up to A)
B,Multi-Digit Addition and Subtraction,Addition to 100
B,Multi-Digit Addition and Subtraction,Addition of 2-Digit Numbers
B,Multi-Digit Addition and Subtraction,Addition of 3-Digit Numbers
B,Multi-Digit Addition and Subtraction,Subtraction (Review up to A)
B,Multi-Digit Addition and Subtraction,Subtraction of 2-Digit Numbers
B,Multi-Digit Addition and Subtraction,Addition and Subtraction of 2-Digit Numbers
B,Multi-Digit Addition and Subtraction,Subtraction of 3-Digit Numbers
C,Multiplication and Division,Review (up to B)
C,Multiplication and Division,Multiplication (Up to 3)
C,Multiplication and Division,Multiplication (Up to 5)
C,Multiplication and Division,Multiplication (Up to 7)
C,Multiplication and Division,Multiplication (Up to 9)
C,Multiplication and Division,Multiplication: 2 Digits × 1 Digit
C,Multiplication and Division,Multiplication: 3 or 4 Digits × 1 Digit
C,Multiplication and Division,Introduction to Division
C,Multiplication and Division,Division with Remainders
C,Multiplication and Division,Division: 2 Digits ÷ 1 Digit
C,Multiplication and Division,Division: 3 Digits ÷ 1 Digit
D,Long Division and Fractions,Review (up to C)
D,Long Division and Fractions,Multiplication: 2 Digits × 2 Digits
D,Long Division and Fractions,Multiplication: 3 Digits × 2 Digits
D,Long Division and Fractions,Addition and Subtraction up to 4 digits
D,Long Division and Fractions,Multiplication and Division
D,Long Division and Fractions,Division by 2-Digit Numbers
D,Long Division and Fractions,Division: Quotients of 2-or-More Digits
D,Long Division and Fractions,Fractions
D,Long Division and Fractions,Reduction
E,Fractions,Review (up to D)
E,Fractions,Addition of Fractions
E,Fractions,Subtraction of Fractions
E,Fractions,Addition and Subtraction of Fractions
E,Fractions,Multiplication of Fractions
E,Fractions,Division of Fractions
E,Fractions,Multiplication and Division of Fractions
E,Fractions,Four Operations of 2 Fractions
F,Order of Operations,Review (up to E)
F,Order of Operations,Multiplication and Division of 3 Fractions
F,Order of Operations,Addition of 3 Fractions
F,Order of Operations,Addition and Subtraction of 3 Fractions
F,Order of Operations,Order of Operations (3 Fractions)
F,Order of Operations,Order of Operations (3-or-More Fractions)
F,Order of Operations,Fractions and Decimals
F,Order of Operations,Solving Word Problems
F,Order of Operations,Decimals
G,Intro to Algebra,Review (up to F)
G,Intro to Algebra,Addition and Subtraction of Positive and Negative Numbers
G,Intro to Algebra,Multiplication of Positive and Negative Numbers
G,Intro to Algebra,Division of Positive and Negative Numbers
G,Intro to Algebra,Four Operations with Positive and Negative Numbers
G,Intro to Algebra,Values of Algebraic Expressions
G,Intro to Algebra,Simplifying Algebraic Expressions
G,Intro to Algebra,Linear Equations
H,Simultaneous Equations,Basics for Level H Mathematics
H,Simultaneous Equations,Literal Equations
H,Simultaneous Equations,Simultaneous Equations in Two Variables
H,Simultaneous Equations,Simultaneous Equations in Three and Four Variables
H,Simultaneous Equations,Application of Equations
H,Simultaneous Equations,Inequalities
H,Simultaneous Equations,Functions and Graphs
H,Simultaneous Equations,Simplifying Monomials and Polynomials
I,Factorisation,Basics for Level I Mathematics
I,Factorisation,Multiplication of Polynomials
I,Factorisation,Multiplication Using Formulas
I,Factorisation,Factorisation
I,Factorisation,Square Roots
I,Factorisation,Quadratic Equations
I,Factorisation,Graphs of Quadratic Functions
I,Factorisation,The Pythagorean Theorem
J,Advanced Algebra,Expansion of Polynomial Products
J,Advanced Algebra,Factorisation
J,Advanced Algebra,Fractional Expressions
J,Advanced Algebra,Irrational Numbers
J,Advanced Algebra,Quadratic Equations
J,Advanced Algebra,Quadratic Equations and Complex Numbers
J,Advanced Algebra,Discriminant
J,Advanced Algebra,Root-Coefficient Relationships
J,Advanced Algebra,Simultaneous Equations
J,Advanced Algebra,Dividing Polynomials
J,Advanced Algebra,Remainder Theorem
